date,tot,pos,neg,neut,avg,p/n
3/21/2020,1233340,285733,195351,752256,0.027722253,1.4626646395462526
3/22/2020,1782157,429789,273338,1079030,0.043512836,1.572371935113303
3/23/2020,1771295,335903,236651,1198741,0.020967784,1.4194024111455266
3/24/2020,1479651,287335,196361,995955,0.025657462,1.4632997387464923
3/25/2020,1272592,264651,176929,831012,0.032867589,1.495803401364389
3/26/2020,1091429,231424,118026,741979,0.049188181,1.9607883008828564
3/27/2020,1172013,271950,127077,772986,0.045154503,2.1400410774569747
3/28/2020,1141210,276035,124087,741088,0.067494835,2.2245279521625956
3/30/2020,792417,192133,88161,512123,0.066099122,2.1793423395832625
3/31/2020,1029294,227151,105997,696146,0.048197726,2.1429946130550865
4/1/2020,920076,197324,118860,603892,0.028266547000000006,1.6601379774524652
4/2/2020,826271,192420,103347,530504,0.050594491,1.8618827832447966
4/3/2020,612512,139302,70662,402548,0.048835616,1.9713849027765984
4/4/2020,685560,165443,85442,434675,0.050546821,1.936319374546476
4/5/2020,717301,154890,104987,457424,0.040489228,1.475325516492518
4/6/2020,722921,155642,106118,461161,0.031688815,1.4666880265364972
4/7/2020,554012,122120,64977,366915,0.046687654,1.8794342613540176
4/8/2020,589679,134327,55981,399371,0.060004973,2.399510548221718
4/9/2020,517718,120834,58222,338662,0.053489701,2.07540105114905
4/10/2020,601199,140013,70517,390669,0.05778240000000001,1.9855212218330331
4/11/2020,497655,122357,56824,318474,0.057676818,2.153262705898916
4/12/2020,477182,110800,63567,302815,0.048541445,1.7430427737662624
4/13/2020,288277,59258,31104,197915,0.040093884,1.9051568930041152
4/14/2020,515739,112503,56727,346509,0.043744942,1.9832354963245016
4/15/2020,427088,83270,49546,294272,0.030612295,1.6806603963993056
4/16/2020,433368,101574,50080,281714,0.042433162,2.0282348242811503
4/17/2020,392847,96985,42896,252966,0.050991554,2.2609334203655354
4/18/2020,2671818,657022,273000,1741796,0.06407205099999999,2.406673992673993
4/19/2020,2393006,574473,250443,1568090,0.056477633,2.29382733795714
4/20/2020,2227579,542880,240036,1444663,0.056889125,2.261660750887367
4/21/2020,2211689,526776,229201,1455712,0.057966076,2.2983145797793205
4/22/2020,2265189,531263,229898,1504028,0.059582617,2.3108639483597075
4/23/2020,2201138,523674,218295,1459169,0.058517088,2.3989280560709134
4/24/2020,2338713,549977,241524,1547212,0.056242125,2.2771111773571158
4/25/2020,1981835,452763,220813,1308259,0.046757663,2.0504363420631937
4/26/2020,2348827,551546,252768,1544513,0.053726131,2.182024623370047
4/27/2020,2212216,513150,207364,1491702,0.058182813,2.474633976968037
4/28/2020,2118853,478013,214667,1426173,0.052745856,2.2267651758304723
4/29/2020,2390703,581473,254874,1554356,0.059621288,2.281413561210637
4/30/2020,2184439,544884,201553,1438002,0.07129084,2.7034278824924463
5/1/2020,2223013,552026,196531,1474456,0.069174809,2.8088494944817866
5/2/2020,2216553,542066,217957,1456530,0.062953552,2.4870318457310385
5/3/2020,2266373,526230,246029,1494114,0.060488107,2.1388941953997294
5/4/2020,2227489,526534,236595,1464360,0.059309036,2.2254654578499125
5/5/2020,2218774,555629,229817,1433328,0.063185012,2.4177019106506483
5/6/2020,2164251,521170,255333,1387748,0.055172402,2.041138434906573
5/7/2020,2203686,519640,235918,1448128,0.057393778,2.202629727278122
5/8/2020,2250019,571855,224747,1453417,0.066793222,2.54443885791579
5/9/2020,2273705,555735,246454,1471516,0.055685265,2.2549238397429137
5/10/2020,2208264,522394,243013,1442857,0.054579476,2.1496545452300904
5/11/2020,2216845,508209,217003,1491633,0.057515798,2.3419445814113167
5/12/2020,2264472,502213,238534,1523725,0.051397521,2.1054147417139695
5/13/2020,2339709,535815,241062,1562832,0.056093878,2.2227269333200588
5/14/2020,2096878,506135,214152,1376591,0.060260658,2.3634381187194142
5/15/2020,2214205,518661,217554,1477990,0.059555257,2.3840563722110373
5/16/2020,3389090,790016,372987,2226087,0.053310678,2.1180791823843728
5/17/2020,3530933,758514,362191,2410228,0.051489722,2.094237570784476
5/18/2020,3899631,907759,419996,2571876,0.059106864,2.161351536681302
5/19/2020,3767009,888760,383054,2495195,0.05888173400000001,2.3201950638813327
5/20/2020,3790455,875892,385549,2529014,0.052184507000000005,2.2718046214618637
5/21/2020,3582020,839859,333303,2408858,0.059352897,2.519806302373516
5/22/2020,3461470,844337,326426,2290707,0.066655267,2.5866107479183644
5/23/2020,3477564,777110,386604,2313850,0.052494027,2.010093015074857
